2000-us-census-rdf,http://www.rdfabout.com/sparql,0,
biolit,http://biolit.rkbexplorer.com/sparql,0,
aemet,http://aemet.linkeddata.es/sparql,0,
agris,http://agrovoc.mimos.my:55824/catalogs/performance/repositories/agris,0,
agrovoc-skos,http://202.73.13.50:55824/catalogs/performance/repositories/agrovoc,0,
asn-us,http://sparql.jesandco.org:8890/sparql,0,
iucr-acta-cryst-e,http://purl.org/openbibliosets/iucrsparql,0,
grrp,http://sparql.linkedopendata.it/grrp,0,
grrt,http://sparql.linkedopendata.it/grrt,0,
bio2rdf-affymetrix,http://affymetrix.bio2rdf.org/sparql,0,
data-incubator-our-airports,http://api.talis.com/stores/airports/services/sparql,0,
allie-abbreviation-and-long-form-database-in-life-science,http://data.allie.dbcls.jp/sparql,0,
austrian_ski_racers,http://vocabulary.semantic-web.at/PoolParty/sparql/AustrianSkiTeam,0,
amsterdam-museum-as-edm-lod,http://semanticweb.cs.vu.nl/europeana/sparql,0,
southampton-ac-uk-apps,http://sparql.data.southampton.ac.uk/,0,
archiveshub-linkeddata,http://data.archiveshub.ac.uk/sparql,0,
rkb-explorer-acm,http://acm.rkbexplorer.com/sparql/,0,
b3kat,http://lod.b3kat.de/sparql,0,
bbc-music,http://api.talis.com/stores/bbc-backstage/services/sparql,0,
bbc-programmes,http://api.talis.com/stores/bbc-backstage/services/sparql,0,
